td,SP500
2011-02-11,0.005507349999999999
2011-02-14,0.002384901
2011-02-15,-0.0032349230000000002
2011-02-16,0.006257415
2011-02-17,0.003075719
2011-02-18,0.0019247532
2011-02-21,0
2011-02-22,-0.020528555
2011-02-23,-0.0061119795
2011-02-24,-9.943843e-4
2011-02-25,0.010550499
2011-02-28,0.0055611134
2011-03-01,-0.015739679
2011-03-02,0.0016151667
2011-03-03,0.017218947
2011-03-04,-0.0073780420000000005
2011-03-07,-0.008341253
2011-03-08,0.008922696
2011-03-09,-0.001357913
2011-03-10,-0.018874645000000002
2011-03-11,0.007080555
2011-03-14,-0.006049335
2011-03-15,-0.011200368
2011-03-16,-0.019494951
2011-03-17,0.013398170000000001
2011-03-18,0.0043023825
2011-03-21,0.014993787000000001
2011-03-22,-0.0035505890000000003
2011-03-23,0.002913952
2011-03-24,0.009340763
2011-03-25,0.0031611919999999997
2011-03-28,-0.0027478337
2011-03-29,0.007060051
2011-03-30,0.006684661
2011-03-31,-0.001829505
2011-04-01,0.0049630404
2011-04-04,3.452301e-4
2011-04-05,-1.8006563e-4
2011-04-06,0.0021836758
2011-04-07,-0.001519978
2011-04-08,-0.0040044188
2011-04-11,-0.0027933717
2011-04-12,-0.0077766776
2011-04-13,1.9025803e-4
2011-04-14,8.368492e-5
2011-04-15,0.0039254427
2011-04-18,-0.011017859000000001
2011-04-19,0.0057312249999999995
2011-04-20,0.013514996
2011-04-21,0.0052767989999999996
2011-04-22,0
2011-04-25,-0.0015926957
2011-04-26,0.008979559
2011-04-27,0.0062499046
2011-04-28,0.003555417
2011-04-29,0.0023006201000000002
2011-05-02,-0.0017527342000000002
2011-05-03,-0.0033792853
2011-05-04,-0.006855309
2011-05-05,-0.009069859999999999
2011-05-06,0.0038199425
2011-05-09,0.004544139
2011-05-10,0.008074045
2011-05-11,-0.011111498
2011-05-12,0.0048954487
2011-05-13,-0.0080636144
2011-05-16,-0.006208122
2011-05-17,-3.6853552e-4
2011-05-18,0.0088038445
2011-05-19,0.0021779537
2011-05-20,-0.007688284
2011-05-23,-0.011925578
2011-05-24,-8.273721000000001e-4
2011-05-25,0.0031831264
2011-05-26,0.0039530992999999995
2011-05-27,0.0040808916
2011-05-30,0
2011-05-31,0.010592699
2011-06-01,-0.022784650000000004
2011-06-02,-0.00122481585
2011-06-03,-0.009733796
2011-06-06,-0.010760187999999999
2011-06-07,-9.564161e-4
2011-06-08,-0.0041868687
2011-06-09,0.0073775053
2011-06-10,-0.013979852
2011-06-13,6.687641e-4
2011-06-14,0.012611747
2011-06-15,-0.017431855
2011-06-16,0.0017542838999999998
2011-06-17,0.003044963
2011-06-20,0.005395174
2011-06-21,0.013423443
2011-06-22,-0.0064684750000000004
2011-06-23,-0.002828002
2011-06-24,-0.011725783
2011-06-27,0.00918448
2011-06-28,0.012944341
2011-06-29,0.008282780600000001
2011-06-30,0.0101192
2011-07-01,0.014409661
2011-07-04,0
2011-07-05,-0.0013361572999999998
2011-07-06,0.00100529194
2011-07-07,0.010450125
2011-07-08,-0.006961106999999999
2011-07-11,-0.018090546
2011-07-12,-0.0044335127
2011-07-13,0.0031058787999999997
2011-07-14,-0.0067161320000000005
2011-07-15,0.0055544376
2011-07-18,-0.008129895
2011-07-19,0.016308665
2011-07-20,-6.708503000000001e-4
2011-07-21,0.013546228
2011-07-22,9.078979500000001e-4
2011-07-25,-0.00564301
2011-07-26,-0.004104972
2011-07-27,-0.020308673000000003
2011-07-28,-0.0032339692
2011-07-29,-0.006450534
2011-08-01,-0.004132270800000001
2011-08-02,-0.025560558
2011-08-03,0.0050196649999999995
2011-08-04,-0.04782045
2011-08-05,-5.749464e-4
2011-08-08,-0.066634474
2011-08-09,0.047406793
2011-08-10,-0.044152380000000005
2011-08-11,0.046290040000000005
2011-08-12,0.0052616596
2011-08-15,0.021784663000000003
2011-08-16,-0.0097385645
2011-08-17,9.473562000000001e-4
2011-08-18,-0.04459369
2011-08-19,-0.015008986
2011-08-22,2.5808811e-4
2011-08-23,0.03428483
2011-08-24,0.013119936
2011-08-25,-0.015565515
2011-08-26,0.015121579000000001
2011-08-29,0.028280020000000003
2011-08-30,0.0023469925
2011-08-31,0.0049220324
2011-09-01,-0.011871457
2011-09-02,-0.025281966
2011-09-05,0
2011-09-06,-0.007436275500000001
2011-09-07,0.02864647
2011-09-08,-0.010612189999999999
2011-09-09,-0.026705503
2011-09-12,0.0069657564
2011-09-13,0.0091201067
2011-09-14,0.013479829
2011-09-15,0.017187119
2011-09-16,0.005706668000000001
2011-09-19,-0.00980258
2011-09-20,-0.0016610026
2011-09-21,-0.029390454
2011-09-22,-0.03188312
2011-09-23,0.006082058
2011-09-26,0.023336172
2011-09-27,0.010688424
2011-09-28,-0.020691156
2011-09-29,0.008114219
2011-09-30,-0.024974108
2011-10-03,-0.028451024999999998
2011-10-04,0.022488475
